Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Music in the Square True Carolina,09/13/2025,18:00,09/13/2025,20:00,False,"Shade is limited and bring your own chair. Tickets are $12, available online and at Lifestyle Services with a limit of four per household. Gates and cash bar services open at 6 p.m. Capacity is 600. Pavilion, 7 p.m.",Pavilion,False
Live by the Lake,09/15/2025,16:00,09/15/2025,18:00,False,"Join us for live music by Okatie River Band at Lake Somerset. Seating, shade and parking are limited. Bring your own chair and beverages; no bar services available. Free event. Lake Somerset, 4–6 p.m.",Lake Somerset,False
Movie Night A Complete Unknown,09/15/2025,19:00,09/15/2025,21:00,False,"In 1961, an unknown 19\-year\-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world. Rated R. 2 hours, 21 minutes. Biography, drama, music. Starring Timothee Chalamet, Edward Norton and Elle Fanning. Free event based on first come, first served. Capacity is 548. Magnolia Hall, 7 p.m.",Magnolia Hall,False
Matinee Movie A Complete Unknown,09/16/2025,14:00,09/16/2025,16:00,False,"Free event based on first come, first served. Closed caption for the hearing impaired. Capacity is 548. Magnolia Hall, 2 p.m.",Magnolia Hall,False
Soundwaves Wednesday,09/17/2025,16:00,09/17/2025,18:00,False,"Enjoy live music and fresh air by the pool. Seating and shade are limited. Bring your own beverages; no bar services will be available. Hidden Cypress will feature Armand DeMille. Lakehouse will feature Sweet Magnolias. Free event. Hidden Cypress and Lakehouse Outdoor Pools, 4–6 p.m.",Hidden Cypress and Lakehouse Outdoor Pools,False
Funny Business Rob Little,09/17/2025,17:30,09/17/2025,19:30,False,"Tickets are $15, available online and at Lifestyle Services. Doors and cash bar services open an hour before the event. Capacity is 320. Pinckney Hall, 5:30 and 8 p.m.",Pinckney Hall,False
Courtyard Cocktails,09/18/2025,17:00,09/18/2025,19:00,False,"Live music by Ryan Wilson. Bring your own chair. Shade is limited. Cash bar services available. Free event. Town Square Courtyard, 5–7 p.m.",Town Square Courtyard,False
Trivia Night,09/18/2025,18:00,09/18/2025,20:00,False,"Grab your friends and join the fun at Trivia Night, testing your knowledge of movies, books, quotes and so much more. Tickets are $7, available online or at Lifestyle Services. Cash bar services available. Capacity is 88. Pinckney Hall, 6 p.m.",Pinckney Hall,False
Funny Business Rob Little,09/18/2025,20:00,09/18/2025,22:00,False,"Tickets are $15, available online and at Lifestyle Services. Doors and cash bar services open an hour before the event. Capacity is 320. Pinckney Hall, 5:30 and 8 p.m.",Pinckney Hall,False
Live by the Lake,09/22/2025,16:00,09/22/2025,18:00,False,"Join us for live music by Tom Isabella & Ric Yancey at Lake Somerset. Seating, shade and parking are limited. Bring your own chair and beverages; no bar services available. Free event. Lake Somerset, 4–6 p.m.",Lake Somerset,False
Murder Mystery Dinner A Dance with Death,09/22/2025,17:30,09/22/2025,19:30,False,"A 1950s sock hop gone sour. This night is shootin’ to be swell despite the disaster. Ladies, bows and pins in your hair will go nicely with your puffy sleeved prom gowns. Gents, you will look sharp in white and black suits or tuxes. Get ready to put on your thinking caps; you’ll need your wits about you to solve this crime. Join the mystery and crack the case with a dinner you will die for. BBQ buffet dinner by Downtown Catering included in ticket price of $52, available online and at Lifestyle Services with a limit of four per household. Full menu available at Lifestyle Services. Capacity is 60. Riverbend, 5:30 p.m.",Riverbend,False
Make it & Take it Resin Jewelry,09/23/2025,13:00,09/23/2025,15:00,False,"Jeanine Mallory returns for another special UV resin jewelry class. Choose from two open bezel pendants with one chain and one lanyard. Learn how to layer dried flowers, abalone and foils into clear resin to create a beautiful one\-of\-a\-kind creation. Stop by Lifestyle Services to see the jewelry on display. All supplies are included in the ticket price of $52. Tickets are available online or at Lifestyle Services with a limit of four per household. Capacity is 14 each class. Pinckney Hall, 1 p.m. and 4 p.m",Pinckney Hall,False
Lowcountry Libations,09/23/2025,16:00,09/23/2025,18:00,False,"Join us for a happy hour featuring live music by Reid Richmond and hors d’oeuvres by Downtown Catering. Cash bar services available. No outside food and beverage permitted. Tickets are $15, available online and at Lifestyle Services with a limit of four per household. Doors and cash bar services open at 3:30 p.m. Capacity is 100. Riverbend, 4 p.m.",Riverbend,False
Make it & Take it Resin Jewelry,09/24/2025,15:00,09/24/2025,17:00,False,"Jeanine Mallory returns for another special UV resin jewelry class. Choose from two open bezel pendants with one chain and one lanyard. Learn how to layer dried flowers, abalone and foils into clear resin to create a beautiful one\-of\-a\-kind creation. Stop by Lifestyle Services to see the jewelry on display. All supplies are included in the ticket price of $52. Tickets are available online or at Lifestyle Services with a limit of four per household. Capacity is 14 each class. Pinckney Hall, 1 p.m. and 4 p.m",Pinckney Hall,False
Soundwaves Wednesday,09/24/2025,16:00,09/24/2025,18:00,False,"Enjoy live music and fresh air by the pool. Seating and shade are limited. Bring your own beverages; no bar services will be available. Hidden Cypress will feature Tom Isabella & Ric Yancey. Lakehouse will feature Gina Pinkepank. Free event. Hidden Cypress and Lakehouse Outdoor Pools, 4–6 p.m.",Hidden Cypress and Lakehouse Outdoor Pools,False
Meet the Author Denis Joseph Stemmle,09/24/2025,18:00,09/24/2025,20:00,False,"Denis Joseph Stemmle, Sun City resident, is the author of The Cynical Prophet. Don Steiner never knew if what was happening to him was real. He tried his best to live his faith, but a part of him wondered if he ever actually had any faith. Now approaching his 80th birthday, he obsesses over unanswered questions. Was his life a sham or just an image he wanted to project? On a pilgrimage across England and Ireland, Don winds up at Stonehenge, contemplating his past and future. He faces the ultimate test of his faith and questions his own sanity. Cash bar services available. Free event. Pinckney Hall, 6 p.m.",Pinckney Hall,False
Boots & Brews Rider Band,09/25/2025,19:00,09/25/2025,21:00,False,"Tickets are $18, available online and at Lifestyle Services. Doors and cash bar services open at 6 p.m. Capacity is 256. Pinckney Hall, 7 p.m.",Pinckney Hall,False
Live by the Lake,09/29/2025,16:00,09/29/2025,18:00,False,"Join us for live music by Mike Sweat at Lake Somerset. Seating, shade and parking are limited. Bring your own chair and beverages; no bar services available. Free event. Lake Somerset, 4–6 p.m.",Lake Somerset,False
Funny Business Uncensored Kris Covi,09/29/2025,17:30,09/29/2025,19:30,False,"Looking for more raw stand\-up comedy? Join Kris for this special, uncensored night of Funny Business. Full disclaimer, he does not shy away from uncomfortable material, so leave the kids at home. The only thing Kris will shy away from at this show is profanity. Tickets are $15, available online and at Lifestyle Services. Doors and cash bar services open an hour before the event. Capacity is 320. Pinckney Hall, 5:30 p.m. and 8 p.m.",Pinckney Hall,False
Funny Business Uncensored Kris Covi,09/30/2025,20:00,09/30/2025,22:00,False,"Looking for more raw stand\-up comedy? Join Kris for this special, uncensored night of Funny Business. Full disclaimer, he does not shy away from uncomfortable material, so leave the kids at home. The only thing Kris will shy away from at this show is profanity. Tickets are $15, available online and at Lifestyle Services. Doors and cash bar services open an hour before the event. Capacity is 320. Pinckney Hall, 5:30 p.m. and 8 p.m.",Pinckney Hall,False
Soundwaves Wednesday,10/01/2025,16:00,10/01/2025,18:00,False,Enjoy live music and fresh air by the pool. Seating and shade limited. Bring your own beverages; no bar services. Hidden Cypress: Dr. Paul & Susan. Lakehouse: Blithe & Fred. Free event.,Hidden Cypress and Lakehouse Outdoor Pools,False
Holiday Craft Bazaar Table Rentals,10/02/2025,08:00,10/02/2025,09:00,False,Tables $30 for annual Holiday Craft Bazaar (Nov 15). Artisans and Crafters License required unless selling as part of a club. Club president must sign registration. More info: http://www.sctax.org/.,Palmetto Commons,False
Trivia Night,10/02/2025,18:00,10/02/2025,19:00,False,"Test your knowledge of movies, books, quotes, and more. Tickets $7. Cash bar available. Capacity 100. Available at Lifestyle Services.",Pinckney Hall,False
Chartered Club Fair,10/04/2025,10:00,10/04/2025,13:00,False,Meet and explore over 90 Chartered Clubs and Registered Community Groups. Food and beverages available for purchase. Free event.,"Pinckney Hall, Courtyard and Pavilion",False
Kick-Off Concert – Deas Guyz,10/04/2025,16:00,10/04/2025,18:00,False,Live entertainment by Deas Guyz. Bring your own chair. Parking/shade limited. No early setup before 3 p.m. No food/beverage sales. Free event.,Okatie Creek Golf Course Driving Range,False
Lowcountry Libations,10/05/2025,16:00,10/05/2025,17:00,False,Happy hour with live music by Brad Swanson and hors d’oeuvres by Signature Catering. No outside food/beverages. Doors/cash bar open 3:30 p.m. Tickets $15. Capacity 84. Residents only. Activity card required. Limit 4 tickets per household.,Riverbend,False
Swingin’ Medallions Concert,10/05/2025,18:00,10/05/2025,19:00,False,Food available. Shade limited. Bring your own chair. Gates/cash bar open 5 p.m. Tickets $18. Capacity 900. Residents only. Activity card required. Limit 4 tickets per household.,Pavilion Grounds,False
Sunrise Yoga (Hosted by Health & Wellness Department),10/06/2025,07:30,10/06/2025,08:30,False,Bring your own yoga mat. Free event. Register online or at fitness center by 2025-09-26.,Riverbend,False
Golf Exhibition with Peter Jacobsen,10/06/2025,16:00,10/06/2025,17:00,False,Hosted by Golf Operations. Exhibition with professional golfer Peter Jacobsen. Shade limited. Bring your own chairs. Cash bar available. Free event.,Driving Range at Hidden Cypress,False
Courtyard Cocktails,10/06/2025,17:00,10/06/2025,19:00,False,Live music by Mike Bagenstose. Bring your own chair. Shade limited. Cash bar available. Free event.,Town Square Courtyard,False
Hotel California: A Salute to the Eagles,10/06/2025,19:00,10/06/2025,20:00,False,Tribute band faithfully recreating Eagles classics. Tickets $35. Capacity 548. Residents only. Activity card required. Limit 4 tickets per household.,Magnolia Hall,False
Felix and Fingers Dueling Pianos,10/06/2025,19:00,10/06/2025,20:00,False,Interactive dueling piano show. Tickets $25. Capacity 320. Residents only. Activity card required. Limit 4 tickets per household.,Pinckney Hall,False
Courtyard Cocktails,10/07/2025,17:00,10/07/2025,19:00,False,Live music by Lyn Avenue Duo. Bring your own chair. Shade limited. Cash bar available. Free event.,Town Square Courtyard,False
Hotel California: A Salute to the Eagles,10/07/2025,19:00,10/07/2025,20:00,False,Same as October 6 performance.,Magnolia Hall,False
Felix and Fingers Dueling Pianos,10/07/2025,19:00,10/07/2025,20:00,False,Same as October 6 performance.,Pinckney Hall,False
Fitness Walk on the Golf Course,10/08/2025,08:00,10/08/2025,09:00,False,Hosted by Health and Wellness Department. Refreshments available. Free event. Register by 2025-09-26.,Argent Lakes Golf Course,False
Soundwaves Wednesday,10/08/2025,16:00,10/08/2025,18:00,False,Hidden Cypress: Ryan Wilson. Lakehouse: DD Band. Free event.,Hidden Cypress and Lakehouse Outdoor Pools,False
Lowcountry Libations,10/08/2025,16:00,10/08/2025,17:00,False,"Live music by Reid Richmond, hors d’oeuvres by Downtown Catering. Tickets $15. Doors/cash bar open 3:30 p.m. Residents only. Activity card required. Capacity 84. Limit 4 tickets per household.",Riverbend,False
Live Entertainment by Brad Swanson,10/08/2025,17:00,10/08/2025,19:00,False,Reservations highly encouraged.,Jameson’s Charhouse,False
Trivia Night,10/08/2025,18:00,10/08/2025,19:00,False,"Test your knowledge of movies, books, quotes, and more. Tickets $7. Cash bar available. Capacity 88. Residents only. Activity card required.",Pinckney Hall,False
Chair Massages (Hosted by Health & Wellness Department),10/09/2025,13:00,10/09/2025,16:00,False,"Free 5-minute chair massages. First come, first served.",Lakehouse,False
Mixology,10/09/2025,16:00,10/09/2025,17:00,False,Learn cocktails with Master Mixologist Brendan Macr! Tickets $40. Residents only. Activity card required. Limit 4 tickets per household. Capacity 20.,Pinckney Hall,False
Live Entertainment by Mike Bagenstose,10/09/2025,17:00,10/09/2025,19:00,False,Free event. No reservations required.,AL’s Pub,False
Courtyard Cocktails,10/09/2025,17:00,10/09/2025,19:00,False,Live music by Jonathan David King. Bring your own chair. Shade limited. Cash bar available. Free event.,Pavilion,False
Funny Business – Bob Zany,10/09/2025,17:30,10/09/2025,18:30,False,Comedy show. Tickets $15. Capacity 320. Residents only. Activity card required.,Pinckney Hall,False
Funny Business – Bob Zany,10/09/2025,20:00,10/09/2025,21:00,False,Comedy show. Tickets $15. Capacity 320. Residents only. Activity card required.,Pinckney Hall,False
Queen Nation: A Tribute to the Music of Queen,10/09/2025,19:00,10/09/2025,20:00,False,Tribute performance recreating Queen’s sound. Tickets $35. Capacity 548. Residents only. Activity card required. Limit 4 tickets per household.,Magnolia Hall,False
Group Fitness Expo,10/10/2025,09:00,10/10/2025,11:00,False,Sample Sun City’s group exercise classes. Free event. Register online by 2025-09-26. Capacity 300.,Pavilion,False
Wine Tasting,10/10/2025,16:00,10/10/2025,17:00,False,Winebow joins for a tasting with light refreshments. Tickets $40. Capacity 60. Residents only. Activity card required. Limit 4 tickets per household.,Riverbend,False
Live Entertainment by Jonathan David King,10/10/2025,17:00,10/10/2025,19:00,False,"Reservations required for dine-in only. Patio seating first come, first served.",The Clubhouse at Okatie Creek,False
Courtyard Cocktails,10/10/2025,17:00,10/10/2025,19:00,False,Live music by Charles Maring. Bring your own chair. Shade limited. Cash bar available. Free event.,Pavilion,False
Funny Business Uncensored – Rodney Laney,10/10/2025,17:30,10/10/2025,18:30,False,Stand-up comedy show (uncensored). Tickets $15. Residents only. Activity card required. Capacity 320.,Pinckney Hall,False
Funny Business Uncensored – Rodney Laney,10/10/2025,20:00,10/10/2025,21:00,False,Stand-up comedy show (uncensored). Tickets $15. Residents only. Activity card required. Capacity 320.,Pinckney Hall,False
Queen Nation: A Tribute to the Music of Queen,10/10/2025,19:00,10/10/2025,20:00,False,Same as Oct 9 performance.,Magnolia Hall,False
Live by the Lake,10/13/2025,16:00,10/13/2025,18:00,False,"Live music by Sound Therapy. Seating, shade, and parking limited. Bring your own chair/beverages; no bar services. Free event.",Lake Somerset,False
Paint & Pinot – Lighthouse,10/14/2025,14:00,10/14/2025,15:00,False,Paint a 11x14 lighthouse canvas while sipping wine. Tickets $40. Limit 4 tickets per household. Capacity 20.,Pinckney Hall,False
Courtyard Cocktails,10/14/2025,17:00,10/14/2025,19:00,False,Live music by Ryan Wilson. Bring your own chair. Shade limited. Cash bar available. Free event.,Town Square Courtyard,False
Soundwaves Wednesday,10/15/2025,16:00,10/15/2025,18:00,False,Hidden Cypress: Keepin It Real. Lakehouse: Dr. Paul & Susan. Free event.,Hidden Cypress and Lakehouse Outdoor Pools,False
Funny Business – Will O’Donnell,10/15/2025,17:30,10/15/2025,18:30,False,Comedy show. Tickets $15. Capacity 320. Residents only. Activity card required.,Pinckney Hall,False
Funny Business – Will O’Donnell,10/15/2025,20:00,10/15/2025,21:00,False,Comedy show. Tickets $15. Capacity 320. Residents only. Activity card required.,Pinckney Hall,False
Trivia Night,10/16/2025,18:00,10/16/2025,19:00,False,"Trivia game with books, movies, and more. Tickets $7. Cash bar available. Capacity 88. Residents only. Activity card required.",Pinckney Hall,False
Lunch & Learn,10/17/2025,11:30,10/17/2025,12:30,False,"Tickets $7, includes lunch. Limit 4 tickets per household. Capacity 60.",Pinckney Hall,False
Live by the Lake,10/20/2025,16:00,10/20/2025,18:00,False,"Live music by Armand DeMille. Seating, shade, and parking limited. Bring your own chair/beverages; no bar services. Free event.",Lake Somerset,False
Movie Night – Beetlejuice Beetlejuice (2024),10/20/2025,19:00,10/20/2025,20:00,False,"Comedy/horror starring Michael Keaton, Winona Ryder, Catherine O’Hara. Rated PG-13. Free event. Capacity 548.",Magnolia Hall,False
Matinee Movie – Beetlejuice Beetlejuice (2024),10/21/2025,14:00,10/21/2025,15:00,False,"Same as Oct 20, closed captioned. Free event. Capacity 548.",Magnolia Hall,False
Glow Par-Tee,10/21/2025,17:30,10/21/2025,18:30,False,Glow mini golf with 18 holes. Equipment provided or bring putter. Tickets $15. Cash bar available. Capacity 216.,Pinckney Hall,False
Glow Par-Tee,10/21/2025,18:45,10/21/2025,19:45,False,Glow mini golf with 18 holes. Equipment provided or bring putter. Tickets $15. Cash bar available. Capacity 216.,Pinckney Hall,False
Glow Par-Tee,10/21/2025,20:00,10/21/2025,21:00,False,Glow mini golf with 18 holes. Equipment provided or bring putter. Tickets $15. Cash bar available. Capacity 216.,Pinckney Hall,False
Make & Take It – Tissue Dying Silk Scarf,10/22/2025,14:00,10/22/2025,15:00,False,"Class by Ellen Scott. Tickets $38, includes scarf and supplies. Limit 4 tickets per household. Capacity 24.",Pinckney Hall,False
Soundwaves Wednesday,10/22/2025,16:00,10/22/2025,18:00,False,Hidden Cypress: The Piano Guy. Lakehouse: Austin Williams. Free event.,Hidden Cypress and Lakehouse Outdoor Pools,False
Wine Dinner – Soirée du Vin,10/22/2025,17:30,10/22/2025,18:30,False,Four-course dinner by Executive Chef Andy Borgmeier with guest speaker from Winebow. Tickets $120. Limit 4 tickets per household. Residents only. Activity card required. Capacity 60.,Riverbend,False
Meet the Author – MG John F. Hussey,10/22/2025,18:00,10/22/2025,19:00,False,Author of *Inside the Wire*. Discussion on military detention operations. Free event. Cash bar available.,Riverbend,False
Live by the Lake,10/27/2025,16:00,10/27/2025,18:00,False,"Live music by Island Harmony. Seating, shade, and parking limited. Bring your own chair/beverages; no bar services. Free event.",Lake Somerset,False
Lowcountry Libations,10/27/2025,16:00,10/27/2025,17:00,False,"Live music by Charles Maring, hors d’oeuvres by DownTown Catering. Tickets $15. Doors/cash bar open 3:30 p.m. Residents only. Activity card required. Capacity 100.",Riverbend,False
Soundwaves Wednesday,10/29/2025,16:00,10/29/2025,18:00,False,Hidden Cypress: Todd Kimmell. Lakehouse: Carolina Girls & Friends. Free event.,Hidden Cypress and Lakehouse Outdoor Pools,False
Halloween Dance – Twisted Fables & Wicked Tales,10/30/2025,19:00,10/30/2025,20:00,False,Live entertainment by Cloud 9. Costumes encouraged. Tickets $27. Gates/cash bar open 6 p.m. Capacity 256.,Pinckney Hall,False
Halloween Dance – Pumpkin Bash,10/30/2025,19:00,10/30/2025,20:00,False,Entertainment by Soul Fish. Costumes encouraged. Tickets $23. Gates/cash bar open 6 p.m. Capacity 250.,Pavilion,False
Gin & Jazz: Levon Stevens Quartet,11/04/2025,19:00,11/04/2025,20:00,False,"Tickets $18, available online and at Lifestyle Services. Doors and cash bar services open at 6 p.m. Capacity 256. ---",Pinckney Hall,False
Ticket Sales,11/05/2025,08:00,11/05/2025,09:00,False,Tickets for all December events go on sale at Lifestyle Services. ---,Palmetto Commons,False
Lowcountry Boil,11/05/2025,17:30,11/05/2025,18:30,False,"Nothing says fall quite like a Lowcountry boil. Signature Catering by SERG brings fresh, local seafood along with other menu items. Full menu available at Lifestyle Services. Live music by Jonathan David King. Tickets $45, available online and at Lifestyle Services. Limit of four tickets per household. Doors and cash bar open at 5 p.m. Capacity 84. ---",Riverbend,False
Trivia Night,11/06/2025,18:00,11/06/2025,19:00,False,"Test your knowledge of movies, books, quotes, and more. Tickets $7, available online and at Lifestyle Services. Cash bar available. Capacity 100. ---",Pinckney Hall,False
Make it & Take it: Clay Jewelry,11/07/2025,14:00,11/07/2025,15:00,False,"Learn polymer clay jewelry making with instructor Denise Palmer. Choose between a bracelet or earrings. Supplies included. Tickets $52, available online and at Lifestyle Services. Limit four tickets per household. Capacity 10 per class. ---",Pinckney Hall,False
Make it & Take it: Clay Jewelry,11/07/2025,16:15,11/07/2025,17:15,False,"Learn polymer clay jewelry making with instructor Denise Palmer. Choose between a bracelet or earrings. Supplies included. Tickets $52, available online and at Lifestyle Services. Limit four tickets per household. Capacity 10 per class. ---",Pinckney Hall,False
Bourbon Dinner,11/10/2025,17:30,11/10/2025,18:30,False,"Four-course dinner paired with bourbon from Willett Distillery. Menu includes hors d’oeuvres, autumn pumpkin soup, poached pear salad, braised short ribs, and apple tart. Tickets $120, available online and at Lifestyle Services. Limit four tickets per household. Capacity 60. ---",Riverbend,False
Irish Coffee Night,11/11/2025,17:00,11/11/2025,18:00,False,Live entertainment by Blithe & Fred. Cash bar available. ---,Pinckney Hall,False
Irish Coffee Night,11/12/2025,17:00,11/12/2025,18:00,False,Live entertainment by The Sweet Magnolias. Cash bar available. ---,Pinckney Hall,False
The JT Experience: A Tribute to James Taylor,11/12/2025,19:00,11/12/2025,20:00,False,"James Gedeon performs James Taylor’s classics. Tickets $35, available online and at Lifestyle Services. Limit four per household. Doors open at 6 p.m. Capacity 548. No food or beverages permitted inside. ---",Magnolia Hall,False
Irish Coffee Night,11/13/2025,17:00,11/13/2025,18:00,False,Live entertainment by Carolina Girls & Guys. Cash bar available. ---,Pinckney Hall,False
The JT Experience: A Tribute to James Taylor,11/13/2025,19:00,11/13/2025,20:00,False,"Tickets $35, available online and at Lifestyle Services. Limit four per household. Doors open at 6 p.m. Capacity 548. No food or beverages permitted inside. ---",Magnolia Hall,False
Irish Coffee Night,11/14/2025,17:00,11/14/2025,18:00,False,Live entertainment by Remember When Band. Cash bar available. ---,Pinckney Hall,False
The JT Experience: A Tribute to James Taylor,11/14/2025,19:00,11/14/2025,20:00,False,"Tickets $35, available online and at Lifestyle Services. Limit four per household. Doors open at 6 p.m. Capacity 548. No food or beverages permitted inside. ---",Magnolia Hall,False
Holiday Craft Bazaar,11/15/2025,10:00,11/15/2025,13:00,False,Browse handmade items from Sun City residents. Tables $30 (sign-up at Lifestyle Services). Free event. Beverages available for purchase. More info at [http://www.sctax.org](http://www.sctax.org). ---,Pinckney Hall,False
Wine Tasting,11/17/2025,16:00,11/17/2025,17:00,False,"Hosted by Winebow with Downtown Catering refreshments. Tickets $40, available online and at Lifestyle Services. Limit four tickets per household. Capacity 60. ---",Riverbend,False
Movie Night: *F1: The Movie*,11/17/2025,19:00,11/17/2025,20:00,False,"Action/drama/sport starring Brad Pitt, Damson Idris, Javier Bardem. Rated PG-13. 2h 35m. Free, first come, first served. Capacity 548. ---",Magnolia Hall,False
Matinee: *F1: The Movie*,11/18/2025,14:00,11/18/2025,15:00,False,"Free screening with closed captioning for hearing impaired. First come, first served. Capacity 548. ---",Magnolia Hall,False
Irish Coffee Night,11/18/2025,17:00,11/18/2025,18:00,False,Live entertainment by Mountain Strings. Cash bar available. ---,Pinckney Hall,False
Funny Business: Cyrus Steele,11/19/2025,17:30,11/19/2025,18:30,False,"Comedy performance. Tickets $15, available online and at Lifestyle Services. Doors and cash bar open one hour before. Capacity 320. ---",Pinckney Hall,False
Funny Business: Cyrus Steele,11/19/2025,20:00,11/19/2025,21:00,False,"Comedy performance. Tickets $15, available online and at Lifestyle Services. Doors and cash bar open one hour before. Capacity 320. ---",Pinckney Hall,False
Trivia Night: Name That Tune,11/20/2025,18:00,11/20/2025,19:00,False,"Test your music knowledge from the ‘50s–‘80s. Tickets $7, available online and at Lifestyle Services. Cash bar available. Capacity 88. ---",Pinckney Hall,False
Meet the Author: Brian Thiem,11/21/2025,18:00,11/21/2025,19:00,False,Discussion of *The Mudflats Murder Club*. Free event. Cash bar available. ---,Pinckney Hall,False
Funny Business Uncensored: Brian Scolaro,11/24/2025,17:30,11/24/2025,18:30,False,"Adult stand-up comedy, uncensored. Tickets $15, available online and at Lifestyle Services. Doors and cash bar open one hour before. Capacity 320. ---",Pinckney Hall,False
Funny Business Uncensored: Brian Scolaro,11/24/2025,20:00,11/24/2025,21:00,False,"Adult stand-up comedy, uncensored. Tickets $15, available online and at Lifestyle Services. Doors and cash bar open one hour before. Capacity 320. ---",Pinckney Hall,False
Irish Coffee Night,11/25/2025,17:00,11/25/2025,18:00,False,Live entertainment by Ronny D. Cash bar available.,Pinckney Hall,False
